feature,importance
path_length,0.2845378376776601
lookalike_score,0.1645728756419793
levenshtein_distance,0.13983211417175687
entropy,0.11781983396165792
subdomain_count,0.09167412740000126
url_length,0.08552462581586344
digit_count,0.04611865845688271
is_potential_lookalike,0.024685246337103055
dot_count,0.01602125137682921
dash_count,0.013906980899189965
domain_length,0.011662172982688524
has_https,0.0028340795706321437
has_brand_name,0.0006841041399347561
suspicious_keyword_count,0.00011925005608349375
has_suspicious_tld,6.306966101449943e-06
has_at_symbol,4.705120549849266e-07
has_ip,6.403357890213603e-08
has_double_slash,1.8423188149865094e-15
